ant, ch, pwr_dig, pwr_dig_dbm, pwr_cmp180_dbm
0,7,2,-66.23,0.00
0,7,4,-60.21,0.00
0,7,6,-56.68,0.00
0,7,8,-54.19,0.00
0,7,10,-52.25,-20.88
0,7,12,-50.66,-20.03
0,7,14,-49.32,-19.03
0,7,16,-48.16,-18.13
0,7,18,-47.14,-17.35
0,7,20,-46.23,-16.37
0,7,22,-45.40,-15.56
0,7,24,-44.64,-14.94
0,7,26,-43.95,-14.33
0,7,28,-43.30,-13.69
0,7,30,-42.70,-13.17
0,7,32,-42.14,-12.71
0,7,34,-41.62,-12.39
0,7,36,-41.12,-11.92
0,7,38,-40.65,-11.42
0,7,40,-40.21,-11.08
0,7,42,-39.78,-10.67
0,7,44,-39.38,-10.30
0,7,46,-38.99,-9.89
0,7,48,-38.62,-9.54
0,7,50,-38.27,-9.21
0,7,52,-37.93,-8.87
0,7,54,-37.60,-8.64
0,7,56,-37.28,-8.34
0,7,58,-36.98,-8.10
0,7,60,-36.68,-7.85
0,7,62,-36.40,-7.56
0,7,64,-36.12,-7.25
0,7,66,-35.86,-7.04
0,7,68,-35.60,-6.77
0,7,70,-35.35,-6.52
0,7,72,-35.10,-6.28
0,7,74,-34.86,-6.11
0,7,76,-34.63,-5.92
0,7,78,-34.41,-5.68
0,7,80,-34.19,-5.48
0,7,82,-33.97,-5.26
0,7,84,-33.76,-5.06
0,7,86,-33.56,-4.84
0,7,88,-33.36,-4.64
0,7,90,-33.16,-4.38
0,7,92,-32.97,-4.16
0,7,94,-32.78,-3.97
0,7,96,-32.60,-3.83
0,7,98,-32.42,-3.69
0,7,100,-32.25,-3.52
0,7,102,-32.08,-3.35
0,7,104,-31.91,-3.18
0,7,106,-31.74,-3.02
0,7,108,-31.58,-2.85
0,7,110,-31.42,-2.69
0,7,112,-31.26,-2.54
0,7,114,-31.11,-2.39
0,7,116,-30.96,-2.24
0,7,118,-30.81,-2.14
0,7,120,-30.66,-2.01
0,7,122,-30.52,-1.89
0,7,124,-30.38,-1.73
0,7,126,-30.24,-1.59
0,7,128,-30.10,-1.45
0,7,130,-29.97,-1.34
0,7,132,-29.84,-1.21
0,7,134,-29.71,-1.08
0,7,136,-29.58,-1.00
0,7,138,-29.45,-0.91
0,7,140,-29.32,-0.80
0,7,142,-29.20,-0.68
0,7,144,-29.08,-0.56
0,7,146,-28.96,-0.43
0,7,148,-28.84,-0.31
0,7,150,-28.73,-0.18
0,7,152,-28.61,-0.09
0,7,154,-28.50,0.03
0,7,156,-28.38,0.16
0,7,158,-28.27,0.26
0,7,160,-28.16,0.34
0,7,162,-28.06,0.43
0,7,164,-27.95,0.55
0,7,166,-27.85,0.65
0,7,168,-27.74,0.75
0,7,170,-27.64,0.85
0,7,172,-27.54,0.95
0,7,174,-27.44,1.07
0,7,176,-27.34,1.18
0,7,178,-27.24,1.27
0,7,180,-27.14,1.36
0,7,182,-27.05,1.44
0,7,184,-26.95,1.52
0,7,186,-26.86,1.62
0,7,188,-26.76,1.72
0,7,190,-26.67,1.81
0,7,192,-26.58,1.91
0,7,194,-26.49,2.00
0,7,196,-26.40,2.09
0,7,198,-26.31,2.19
0,7,200,-26.23,2.27
0,7,202,-26.14,2.34
0,7,204,-26.05,2.41
